ID,half_life
1576,7.486063523
1577,327.9005449
1578,15.62699344
1579,NA
1580,219.8644822
1581,NA
1582,NA
1583,73.80278538
1584,49.81826658
1585,NA
1586,53.69599185
1587,219.0292153
1588,NA
1589,30.65867551
1590,NA
1592,NA
1593,61.52571453
1594,5.504831953
1595,43.6994511
1596,78.61785143
1597,24.02641186
1598,157.8024905
1599,NA
1600,160.1316384
1602,28.31823296
1603,101.8999941
1604,NA
1605,212.1885367
1606,46.768652
1607,35.87060992
1608,52.37000454
1609,114.7989686
1610,NA
1611,9.604075528
1612,NA
1614,NA
1615,40.72357555
1616,NA
1617,76.73233626
1618,NA
1619,NA
1620,NA
1621,241.5506789
1623,6.509263887
1624,9.248090387
1625,NA
1626,NA
1627,112.1918077
1629,6.686080621
1631,9.375007152
1632,190.3260207
1634,NA
1635,NA
1636,54.11315365
1637,NA
1638,NA
1639,38.87991339
1640,162.7746744
1641,248.6194353
1642,61.93862424
1643,NA
1644,NA
1646,64.68474273
1648,179.9020503
1649,290.7059337
1651,5.362090403
1652,3.795178345
1653,15.34464881
1654,224.9990863
1655,NA
1656,103.0437947
1657,163.2604749
1659,9.784299909
1660,4.451766434
1661,28.07663482
1662,118.0751025
1663,NA
1664,NA
1665,35.0683112
1666,158.7881867
1668,121.1489685
1669,NA
1670,51.17269791
1671,7.308950412
1673,110.0106654
1674,NA
1675,NA
1676,156.7811807
1677,48.24117796
1678,NA
1679,NA
1680,NA
1681,14.70937864
1682,41.89099286
1683,NA
1684,177.4241314
1685,265.0179352
1686,139.4159199
1688,6.245288433
1689,10.13211447
1690,34.82568083
1694,12.31622213
1695,99.03894711
1696,19.76022443
1697,9.94565995
1699,NA
1700,83.91731584
1701,NA
1702,181.2739938
1705,128.5311418
1706,5.747788919
1707,30.70272261
1708,NA
1709,3.455427508
1710,42.26934328
1712,107.6057448
1713,12.10393896
1714,6.687735769
1715,309.3611649
1717,174.3382394
1718,115.6629746
1719,272.3645012
1720,68.52925424
1721,144.1576435
1722,202.7930838
1723,NA
1724,154.8348294
1725,NA
1726,134.0449591
1727,27.58004823
1728,28.84846755
1729,NA
1730,88.37954541
1731,NA
1732,2.969148414
1733,66.41893596
1734,NA
1735,NA
1737,117.8917783
1738,191.122829
1739,22.38204163
1740,14.30881717
1741,NA
1742,NA
1743,156.1757358
1744,44.23736131
1745,202.6054939
1746,117.5067635
1747,44.8954704
1748,227.3986997
1749,166.7383092
1750,135.499266
1751,65.20158151
1754,166.4757272
1755,NA
1756,94.15080123
1759,291.9963168
1760,NA
1761,90.342012
1762,23.51179002
1763,8.14404343
1765,65.96898497
1766,12.22914102
1767,26.18871909
1769,25.98903517
1770,22.86166399
1772,NA
1773,69.58854993
1774,177.6576521
1775,NA
1776,7.227949495
1777,NA
1778,8.874902545
1779,44.64766155
1780,117.985364
1781,44.3668119
1782,NA
1783,101.2642084
1785,244.9666202
1786,53.77802312
1787,121.5181758
1788,NA
1789,NA
1791,166.7521243
1792,12.64259176
1793,54.47620827
1794,49.0464708
1796,22.17587624
1797,NA
1798,NA
1799,NA
1800,112.9178519
1801,60.02643283
1802,33.18489004
1803,32.19141418
1804,200.5884206
1805,12.67475631
1807,28.3235886
1809,132.0884432
1810,71.28084689
1811,NA
1812,126.24995
1813,31.72317161
1814,13.11374572
1815,68.82945201
1816,NA
1817,11.0400539
1818,NA
